# OPPS TRACKER - COMPLETE PLAYER DATABASE
# Generated: 12/08/2025, 16:06:23
# Discord Bot: OPPS TRACKER
# Total Players: 293
#
# DATABASE STATISTICS:
# - Total Players: 293
# - Royalty RP Only: 193
# - Horizon Only: 97
# - Both Servers: 3
# - Currently Tracked: 4
#
# FORMAT: PlayerName [Server(s)] {TrackingStatus} | First Seen | Last Seen | Total Sightings
# ========================================================================================

:) [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 168
KB [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 278
kensonic [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 28
keroppieee [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 12
King [Horizon/Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 201
KiwiSteph [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
Konaki [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Kylel [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 172
Larry Buble [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 366
lastnamemac [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 190
LaurajaneG [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 337
leam1 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 89
Leiahna [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
Leisha [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 7
Lewis [Horizon] {TRACKED: People of Interest} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 189
lilla my [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 176
Linsea [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
LM [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Lorin [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Luv.Bean [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 193
Lyxoria [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 1
macdaddy085236 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 359
MadDog [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
Mafie [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 366
Major ERP [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
MamaScopezttv [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
McTripled [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
Mendez ツ [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 194
Mentally ill [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
Michael [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 207
Mimi Rosen [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 14
Misspockets [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
mizzzchief [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 194
Mobes12 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 138
Molly [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 13
MR GOOSE 1 [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 184
Mr. Maggu [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 158
MrFinsGaming [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
MrOwlplay [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 359
Myabsi [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 128
Nastyass HoneyBadger [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Nebula [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 195
Nightwing [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 156
Nonki [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 181
NotAMallCop [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 21
notMateo [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 359
notNatasha [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 358
Nova [Horizon/Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 535
NOXQUSE [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 78
number 1 gooner [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 151
one30two50 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
Ophelia Oak [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 5
OPP DROPPER [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 200
Peyagero TTV [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 200
PI Joe Mama [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 283
Pizza Pizza [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
Plummer [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 359
Pointyy [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 26
poiso [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 36
Pop [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 184
PotCheck_ [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
PROUDGATOR [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
purpu [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
quinnyrfc1988 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 194
Ray [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 38
Red Candy GT [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 194
Redd/Mark  [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 64
Reign [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Remice [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 199
Reqqu [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 207
Rev [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 285
Riley Morgan [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 359
Rose [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 177
RsBrizz [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 350
Rushyyy [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 13
RustySpoon [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 207
𝓼⸸ S [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
S7 Duncan [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 182
SaggyNewtSack [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 194
Salem [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 200
sam [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 63
SANTOxPRENDE [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 50
Satans Finest Klown [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 22
SavageTactician [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 1
SBH_Hassan [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
SeanAird [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Seanbian [Horizon/Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 100
Semora [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 10
Senra [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 169
Serenity [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 8
Serpent [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
shakeykev [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Sharkbait [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 160
Shmuel [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 8
Shytez [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 130
Silver Back Gorilla [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
slde [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 204
SMOKZY [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 319
snail [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 11
Speciality [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 129
SpeedQBJunkie [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 21
SquiiigZ [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 154
Stealthy [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 168
Steph [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 63
Steven [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 194
Studmuffin307 [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 32
styx [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
Succubus Queen [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 1
sugo [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 8
Supaykunapa hawanpi [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 133
suprac [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 151
SweetZ [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 168
swizz [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
Swizzy [Horizon] {TRACKED: People of Interest} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 159
T-Rex [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
T3RR3NC3 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
T9ze_ [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 188
The Fourth Turkey [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 194
TheLostAssassinx [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 145
Thrifty Sam The Salsa Man [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
TimmyT [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
